iter	RMSE
0	176.5008869
1	166.589058
2	160.0053499
3	155.3033999
4	152.0846849
5	150.0337997
6	148.2754243
7	147.1896636
8	146.3301094
9	145.6581051
10	145.2422416
11	144.9052489
12	144.5459342
13	144.3378206
14	144.1946927
15	144.1102742
16	143.9951076
17	143.7598369
18	143.7300704
19	143.6056151
20	143.4436941
21	143.411705
22	143.3745365
23	143.2849063
24	143.2365917
25	143.1884419
26	143.1171317
27	143.063355
28	143.0306463
29	143.0063649
30	142.9843258
31	142.7981228
32	142.7812772
33	142.7531877
34	142.6160477
35	142.5609737
36	142.4552066
37	142.4304275
38	142.3927015
39	142.3061907
40	142.2716071
41	142.162621
42	142.1517924
43	142.0709786
44	141.7916375
45	141.653054
46	141.5947808
47	141.5919924
48	141.5382438
49	141.5376896
50	141.5353029
51	141.4930469
52	141.3833282
53	141.3769903
54	141.3222086
55	141.2201985
56	141.2169148
57	141.0327488
58	141.0325151
59	141.0184338
60	141.0001442
61	140.9094114
62	140.9032999
63	140.8470858
64	140.7620944
65	140.7396257
66	140.7302758
67	140.7114957
68	140.7047201
69	140.6070333
70	140.5724114
71	140.5121779
72	140.3995578
73	140.351952
74	140.3471401
75	140.2670286
76	140.2636502
77	140.2465758
78	140.2455624
79	140.227955
80	140.2277007
81	140.1659575
82	140.0925043
83	140.0856725
84	140.0840858
85	139.9679406
86	139.9262333
87	139.8857926
88	139.7914078
89	139.69131
90	139.6541932
91	139.5209076
92	139.4212601
93	139.3413803
94	139.3392913
95	139.2795669
96	139.1905408
97	139.1887122
98	139.1696042
99	139.064866
100	139.0150821
101	139.0025798
102	138.943157
103	138.877923
104	138.8056698
105	138.7740215
106	138.7436211
107	138.7431122
108	138.6768026
109	138.6317005
110	138.5776733
111	138.4179053
112	138.3522431
113	138.341087
114	138.3038354
115	138.2887804
116	138.2676174
117	138.2409802
118	138.2081721
119	138.2076757
120	138.2021819
121	138.1207834
122	138.0575412
123	138.0239598
124	138.0118527
125	137.9091765
126	137.8576514
127	137.8025396
128	137.7958107
129	137.7807145
130	137.7590674
131	137.7066416
132	137.6480441
