iter	Passed	Remaining
0	163	325911
1	208	208539
2	239	159556
3	275	137485
4	318	126972
5	362	120443
6	399	113660
7	431	107457
8	465	102933
9	497	99019
10	521	94267
11	562	93208
12	587	89845
13	605	85871
14	628	83196
15	653	81045
16	693	80918
17	715	78836
18	744	77619
19	771	76342
20	791	74562
21	814	73209
22	842	72401
23	860	70811
24	883	69827
25	903	68622
26	927	67779
27	959	67547
28	981	66740
29	1000	65716
30	1025	65125
31	1074	66060
32	1102	65700
33	1135	65633
34	1170	65722
35	1202	65622
36	1235	65558
37	1266	65376
38	1287	64737
39	1313	64357
40	1345	64272
41	1370	63874
42	1410	64209
43	1441	64064
44	1470	63875
45	1501	63788
46	1543	64147
47	1582	64355
48	1607	64001
49	1631	63625
50	1652	63138
51	1686	63184
52	1709	62790
53	1740	62722
54	1763	62364
55	1798	62428
56	1829	62365
57	1853	62054
58	1874	61681
59	1897	61338
60	1928	61304
61	1961	61309
62	1995	61341
63	2019	61081
64	2042	60801
65	2068	60611
66	2105	60735
67	2136	60698
68	2169	60728
69	2213	61029
70	2269	61665
71	2336	62567
72	2368	62525
73	2390	62224
74	2421	62150
75	2440	61788
76	2479	61927
77	2512	61905
78	2540	61777
79	2577	61865
80	2601	61627
81	2628	61487
82	2654	61317
83	2684	61225
84	2713	61125
85	2738	60943
86	2783	61211
87	2822	61316
88	2849	61189
89	2874	61009
90	2901	60869
91	2920	60565
92	2944	60385
93	2981	60464
94	3008	60323
95	3043	60365
96	3077	60367
97	3124	60645
98	3173	60933
99	3198	60774
100	3219	60526
101	3251	60507
102	3271	60247
103	3296	60100
104	3332	60146
105	3357	59996
106	3384	59874
107	3414	59808
108	3457	59981
109	3481	59821
110	3538	60211
111	3564	60086
112	3592	59995
113	3616	59830
114	3651	59855
115	3673	59655
116	3710	59709
117	3766	60071
118	3794	59986
119	3819	59845
120	3851	59807
121	3887	59849
122	3912	59700
123	3940	59619
124	3960	59412
125	4003	59550
126	4042	59615
127	4066	59466
128	4090	59330
129	4110	59125
130	4134	58988
131	4161	58897
132	4200	58964
133	4218	58747
134	4245	58645
135	4280	58670
136	4316	58703
137	4364	58889
138	4409	59032
139	4437	58957
140	4471	58953
141	4506	58970
142	4535	58898
143	4561	58792
144	4589	58717
145	4614	58595
146	4642	58522
147	4683	58612
148	4729	58753
149	4761	58726
150	4803	58818
151	4855	59027
152	4877	58876
153	4899	58734
154	4921	58579
155	4936	58354
156	4966	58298
157	4992	58203
158	5014	58060
159	5038	57940
160	5059	57790
161	5096	57819
162	5130	57816
163	5170	57881
164	5199	57827
165	5221	57690
166	5244	57560
167	5286	57647
168	5310	57532
169	5343	57520
170	5379	57539
171	5400	57396
172	5425	57298
173	5445	57150
174	5479	57143
175	5504	57045
176	5531	56966
177	5557	56890
178	5585	56823
